state_name,district_name_raw,district_name_clean,lgd_district_code,year,fluoride_avg,ph_avg,hardness_avg,contamination_index,num_stations,match_confidence
ASSAM,CACHAR,Cachar,282.0,2017,0.8171428571428572,7.55857142857143,85.47619047619048,2,30,100.0
ASSAM,CACHAR,Cachar,282.0,2018,0.65,6.905800000000001,169.5,0,30,100.0
ASSAM,CHIRANG,Chirang,612.0,2011,0.6499429197635515,7.955365891366213,314.63801180302147,0,9,100.0
ASSAM,CHIRANG,Chirang,612.0,2012,0.6499429197635515,7.955365891366213,314.63801180302147,0,9,100.0
ASSAM,CHIRANG,Chirang,612.0,2013,0.6499429197635515,7.955365891366213,314.63801180302147,0,9,100.0
ASSAM,CHIRANG,Chirang,612.0,2014,0.6499429197635515,7.955365891366213,314.63801180302147,0,9,100.0
ASSAM,CHIRANG,Chirang,612.0,2015,0.07666666666666667,8.053333333333333,116.0,0,9,100.0
ASSAM,CHIRANG,Chirang,612.0,2016,0.282,8.0756,134.0,0,9,100.0
ASSAM,CHIRANG,Chirang,612.0,2017,0.6499429197635515,7.955365891366213,314.63801180302147,0,9,100.0
ASSAM,CHIRANG,Chirang,612.0,2018,0.6499429197635515,7.955365891366213,314.63801180302147,0,9,100.0
ASSAM,DARRANG,Darrang,283.0,2011,0.6499429197635515,7.815,55.0,0,14,100.0
ASSAM,DARRANG,Darrang,283.0,2012,0.6499429197635515,7.815,60.0,0,14,100.0
ASSAM,DARRANG,Darrang,283.0,2013,0.6499429197635515,7.955365891366213,314.63801180302147,0,14,100.0
ASSAM,DARRANG,Darrang,283.0,2014,0.11666666666666665,8.475,176.0,1,14,100.0
ASSAM,DARRANG,Darrang,283.0,2015,0.2233333333333333,7.976666666666667,85.33333333333333,0,14,100.0
ASSAM,DARRANG,Darrang,283.0,2016,0.21923076923076923,8.065538461538463,140.3846153846154,1,14,100.0
ASSAM,DARRANG,Darrang,283.0,2017,0.6499429197635515,7.955365891366213,314.63801180302147,0,14,100.0
ASSAM,DARRANG,Darrang,283.0,2018,0.48666666666666664,7.669833333333333,148.33333333333334,0,14,100.0
ASSAM,DHEMAJI,Dhemaji,284.0,2011,0.6499429197635515,7.955365891366213,314.63801180302147,0,16,100.0
ASSAM,DHEMAJI,Dhemaji,284.0,2012,0.6499429197635515,7.955365891366213,314.63801180302147,0,16,100.0
ASSAM,DHEMAJI,Dhemaji,284.0,2013,0.51,8.3,117.0,0,16,100.0
ASSAM,DHEMAJI,Dhemaji,284.0,2014,0.2542857142857143,8.975,152.0,1,16,100.0
ASSAM,DHEMAJI,Dhemaji,284.0,2015,0.22166666666666668,8.02375,73.5,0,16,100.0
ASSAM,DHEMAJI,Dhemaji,284.0,2016,0.495,8.175,86.875,0,16,100.0
ASSAM,DHEMAJI,Dhemaji,284.0,2017,0.81,8.523,40.0,2,16,100.0
ASSAM,DHEMAJI,Dhemaji,284.0,2018,0.21833333333333335,6.674499999999999,109.16666666666667,0,16,100.0
ASSAM,DHUBRI,Dhubri,285.0,2011,0.6499429197635515,8.129999999999999,217.5,1,21,100.0
ASSAM,DHUBRI,Dhubri,285.0,2012,0.6499429197635515,7.933333333333334,183.33333333333334,0,21,100.0
ASSAM,DHUBRI,Dhubri,285.0,2013,0.55,7.95,157.0,1,21,100.0
ASSAM,DHUBRI,Dhubri,285.0,2014,0.47000000000000003,8.6,176.8,2,21,100.0
ASSAM,DHUBRI,Dhubri,285.0,2015,0.0325,7.4625,66.0,1,21,100.0
ASSAM,DHUBRI,Dhubri,285.0,2016,0.1864705882352941,8.044823529411765,95.88235294117646,1,21,100.0
ASSAM,DHUBRI,Dhubri,285.0,2017,0.6499429197635515,7.955365891366213,314.63801180302147,0,21,100.0
ASSAM,DHUBRI,Dhubri,285.0,2018,0.36,7.328857142857143,121.42857142857143,0,21,100.0
ASSAM,DIBRUGARH,Dibrugarh,286.0,2011,0.6499429197635515,7.955365891366213,314.63801180302147,0,15,100.0
ASSAM,DIBRUGARH,Dibrugarh,286.0,2012,0.23,8.5,133.33333333333334,1,15,100.0
ASSAM,DIBRUGARH,Dibrugarh,286.0,2013,0.9200000000000002,8.620000000000001,154.0,1,15,100.0
ASSAM,DIBRUGARH,Dibrugarh,286.0,2014,0.22599999999999998,8.34,120.0,0,15,100.0
ASSAM,DIBRUGARH,Dibrugarh,286.0,2015,0.6499429197635515,7.955365891366213,314.63801180302147,0,15,100.0
ASSAM,DIBRUGARH,Dibrugarh,286.0,2016,0.23916666666666667,8.243333333333334,143.75,0,15,100.0
ASSAM,DIBRUGARH,Dibrugarh,286.0,2017,0.3025,7.547499999999999,108.75,1,15,100.0
ASSAM,DIBRUGARH,Dibrugarh,286.0,2018,0.06,7.015,205.0,1,15,100.0
ASSAM,GOALPARA,Goalpara,287.0,2011,0.6499429197635515,7.45,140.0,0,16,100.0
ASSAM,GOALPARA,Goalpara,287.0,2012,0.6499429197635515,7.45,140.0,0,16,100.0
ASSAM,GOALPARA,Goalpara,287.0,2013,0.35,7.1,52.0,0,16,100.0
ASSAM,GOALPARA,Goalpara,287.0,2014,0.7033333333333335,8.055,94.0,0,16,100.0
ASSAM,GOALPARA,Goalpara,287.0,2015,0.458,8.258000000000001,95.2,0,16,100.0
ASSAM,GOALPARA,Goalpara,287.0,2016,0.37875000000000003,7.7625,56.875,1,16,100.0
ASSAM,GOALPARA,Goalpara,287.0,2017,0.6499429197635515,7.955365891366213,314.63801180302147,0,16,100.0
ASSAM,GOALPARA,Goalpara,287.0,2018,0.11285714285714286,6.984428571428571,55.714285714285715,0,16,100.0
ASSAM,GOLAGHAT,Golaghat,288.0,2011,0.6499429197635515,8.28,125.0,0,16,100.0
ASSAM,GOLAGHAT,Golaghat,288.0,2012,0.6499429197635515,8.28,125.0,0,16,100.0
ASSAM,GOLAGHAT,Golaghat,288.0,2013,1.12,7.7,43.0,0,16,100.0
ASSAM,GOLAGHAT,Golaghat,288.0,2014,0.24,8.3,64.0,0,16,100.0
ASSAM,GOLAGHAT,Golaghat,288.0,2015,0.135,8.185,77.0,1,16,100.0
ASSAM,GOLAGHAT,Golaghat,288.0,2016,0.7192307692307692,8.066384615384615,134.23076923076923,1,16,100.0
ASSAM,GOLAGHAT,Golaghat,288.0,2017,0.6499429197635515,7.955365891366213,314.63801180302147,0,16,100.0
ASSAM,GOLAGHAT,Golaghat,288.0,2018,0.49800000000000005,7.542,156.0,0,16,100.0
ASSAM,HAILAKANDI,Hailakandi,289.0,2011,0.6499429197635515,7.44,105.0,0,11,100.0
ASSAM,HAILAKANDI,Hailakandi,289.0,2012,0.6499429197635515,7.44,105.0,0,11,100.0
ASSAM,HAILAKANDI,Hailakandi,289.0,2013,0.6499429197635515,7.955365891366213,314.63801180302147,0,11,100.0
ASSAM,HAILAKANDI,Hailakandi,289.0,2014,0.6499429197635515,7.955365891366213,314.63801180302147,0,11,100.0
ASSAM,HAILAKANDI,Hailakandi,289.0,2015,0.13,7.8,148.0,0,11,100.0
ASSAM,HAILAKANDI,Hailakandi,289.0,2016,0.162,8.07,56.0,1,11,100.0
ASSAM,HAILAKANDI,Hailakandi,289.0,2017,0.942,8.204,123.0,1,11,100.0
ASSAM,HAILAKANDI,Hailakandi,289.0,2018,0.6375,7.053375,205.0,1,11,100.0
ASSAM,JORHAT,Jorhat,290.0,2011,0.6499429197635515,8.44,230.0,1,28,100.0
ASSAM,JORHAT,Jorhat,290.0,2012,0.6499429197635515,8.44,230.0,1,28,100.0
ASSAM,JORHAT,Jorhat,290.0,2013,0.31,7.8,126.0,0,28,100.0
ASSAM,JORHAT,Jorhat,290.0,2014,0.19,8.5,148.0,1,28,100.0
ASSAM,JORHAT,Jorhat,290.0,2015,0.3325,8.225,62.0,1,28,100.0
ASSAM,JORHAT,Jorhat,290.0,2016,0.6905555555555556,7.906444444444444,115.0,1,28,100.0
ASSAM,JORHAT,Jorhat,290.0,2017,0.6499429197635515,7.955365891366213,314.63801180302147,0,28,100.0
ASSAM,JORHAT,Jorhat,290.0,2018,0.2357142857142857,7.691428571428572,171.42857142857142,0,28,100.0
ASSAM,KAMRUP,Kamrup,291.0,2011,0.6499429197635515,7.883333333333333,235.0,1,34,100.0
ASSAM,KAMRUP,Kamrup,291.0,2012,0.6499429197635515,7.883333333333333,235.0,1,34,100.0
ASSAM,KAMRUP,Kamrup,291.0,2013,0.882,8.120000000000001,129.6,0,34,100.0
ASSAM,KAMRUP,Kamrup,291.0,2014,0.458,8.445454545454545,202.1818181818182,2,34,100.0
ASSAM,KAMRUP,Kamrup,291.0,2015,0.87,8.19,101.25,0,34,100.0
ASSAM,KAMRUP,Kamrup,291.0,2016,0.5516666666666666,7.771199999999999,113.5,1,34,100.0
ASSAM,KAMRUP,Kamrup,291.0,2017,0.6499429197635515,7.955365891366213,314.63801180302147,0,34,100.0
ASSAM,KAMRUP,Kamrup,291.0,2018,0.2982352941176471,7.2287058823529415,111.47058823529412,1,34,100.0
