country,state_name,state_code,district_name,district_code,department type,department,csir_spent_inr_crores,year,csir_spent_usd_millions
India,Jammu And Kashmir,1,Kishtwar,620,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.1,2020,0.012048192771084338
India,Jammu And Kashmir,1,Ramban,621,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2014,0.0
India,Jammu And Kashmir,1,Ramban,621,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2015,0.0
India,Jammu And Kashmir,1,Ramban,621,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2016,0.0
India,Jammu And Kashmir,1,Ramban,621,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2017,0.0
India,Jammu And Kashmir,1,Ramban,621,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2018,0.0
India,Jammu And Kashmir,1,Ramban,621,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2019,0.0
India,Jammu And Kashmir,1,Ramban,621,Other than Aspirational,"Education, Differently Abled, livelihood",1.13,2020,0.136144578313253
India,Jammu And Kashmir,1,Bandipora,623,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2014,0.0
India,Jammu And Kashmir,1,Bandipora,623,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2014,0.0
India,Jammu And Kashmir,1,Bandipora,623,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2014,0.0
India,Jammu And Kashmir,1,Bandipora,623,Other than Aspirational,Rural Development,0.0,2014,0.0
India,Jammu And Kashmir,1,Bandipora,623,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2015,0.0
India,Jammu And Kashmir,1,Bandipora,623,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2015,0.0
India,Jammu And Kashmir,1,Bandipora,623,Other than Aspirational,"Health, Eradicating Hunger, Poverty and Malnutrition, Safe Drinking water, Sanitation",0.0,2015,0.0
India,Jammu And Kashmir,1,Bandipora,623,Other than Aspirational,Rural Development,0.0,2015,0.0
India,Jammu And Kashmir,1,Bandipora,623,Other than Aspirational,"Education, Differently Abled, livelihood",0.0,2016,0.0
India,Jammu And Kashmir,1,Bandipora,623,Other than Aspirational,"Environment, Animal Welfare, Conservation of Resources",0.0,2016,0.0
